id,name,attribute_id/id
__export__.product_attribute_value_4,Police,__export__.product_attribute_4
__export__.product_attribute_value_5,Army,__export__.product_attribute_4
__export__.product_attribute_value_6,BGB,__export__.product_attribute_4
__export__.product_attribute_value_7,Ansar,__export__.product_attribute_4
__export__.product_attribute_value_8,Customs,__export__.product_attribute_4
__export__.product_attribute_value_9,Scout,__export__.product_attribute_4
__export__.product_attribute_value_10,Ribbon,__export__.product_attribute_5
__export__.product_attribute_value_11,Medal,__export__.product_attribute_5
__export__.product_attribute_value_12,Small,__export__.product_attribute_6
__export__.product_attribute_value_13,Big,__export__.product_attribute_6
