"id","address","chief/id","force_name/id","parent_unit/id","chief_rank/id","name"
"__export__.ribbon_force_unit_1","Phoenix Road,Fulbaria, Dhaka","__export__.ribbon_post_1","__export__.ribbon_force_1","","__export__.ribbon_rank_2","Police Head Quarter"
"__export__.ribbon_force_unit_2","Shegun Bagicha, DHaka","__export__.ribbon_post_2","__export__.ribbon_force_1","__export__.ribbon_force_unit_1","__export__.ribbon_rank_8","Dhaka Range"
"__export__.ribbon_force_unit_3","Shegun Bagicha, DHaka","__export__.ribbon_post_3","__export__.ribbon_force_1","__export__.ribbon_force_unit_2","__export__.ribbon_rank_7","Dhaka District"
"__export__.ribbon_force_unit_4","Savar, DHaka","__export__.ribbon_post_4","__export__.ribbon_force_1","__export__.ribbon_force_unit_3","__export__.ribbon_rank_1","Savar Thana"
"__export__.ribbon_force_unit_5","Ramna, Dhaka","__export__.ribbon_post_5","__export__.ribbon_force_1","__export__.ribbon_force_unit_1","__export__.ribbon_rank_3","Dhaka Metropalitan Police"
"__export__.ribbon_force_unit_6","Wari, Dhaka","__export__.ribbon_post_6","__export__.ribbon_force_1","__export__.ribbon_force_unit_5","__export__.ribbon_rank_7","Wari Zone"
"__export__.ribbon_force_unit_7","Lalbag, Dhaka","__export__.ribbon_post_6","__export__.ribbon_force_1","__export__.ribbon_force_unit_5","__export__.ribbon_rank_7","Lalbag Zone"
"__export__.ribbon_force_unit_8","Wari, DHaka","__export__.ribbon_post_4","__export__.ribbon_force_1","__export__.ribbon_force_unit_6","__export__.ribbon_rank_1","Wari Thana"
"__export__.ribbon_force_unit_9","Motijheel, Dhaka","__export__.ribbon_post_6","__export__.ribbon_force_1","__export__.ribbon_force_unit_5","__export__.ribbon_rank_7","Motijheel Zone"
"__export__.ribbon_force_unit_10","Noya Paltan, DHaka","__export__.ribbon_post_4","__export__.ribbon_force_1","__export__.ribbon_force_unit_9","__export__.ribbon_rank_1","Paltan Thana"
"__export__.ribbon_force_unit_11","Khilgao, DHaka","__export__.ribbon_post_4","__export__.ribbon_force_1","__export__.ribbon_force_unit_10","__export__.ribbon_rank_1","Khilgao Thana"
